ID,行列やその演算（行列積や逆行列など）についてどのくらい知っていますか？,行列の固有値やスペクトル分解についてどのくらい知っていますか？,回帰（regression）についてどのくらい知っていますか？,正則化（regularization）についてどのくらい知っていますか？,確率的勾配降下法（SGD: Stochastic Gradient Descent）についてどのくらい知っていますか？,分類（classification）についてどのくらい知っていますか,ニューラルネットワークについてどのくらい知っていますか？,サポートベクトルマシン（SVM）についてどのくらい知っていますか,クラスタリングについてどのくらい知っていますか？,主成分分析についてどのくらい知っていますか？,強化学習についてどのくらい知っていますか？,プログラミング言語Pythonについてどのくらい知っていますか？,Kaggleなどのデータ解析コンペに参加したことがありますか？,ご所属を教えて下さい（「その他」には学院名ではなく系の名前を入れてください）。,使ったことがあるサービス・ライブラリにチェックを付けてください,講義内容や進め方に関して、ご要望、ご提案、ご期待等がありましたら自由にお書きください。
1,講義で聞いたことはある,講義で聞いたことはある,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,講義で勉強したことがある,参加したことは無い,電気電子系,Google Colaboratory;,
2,自分で計算できる程度に理解している,自分で計算できる程度に理解している,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,ある程度コードが書ける,参加したことがある,情報通信系,Google Colaboratory;Slack;PyTorch;scikit-learn;NumPy;,
3,自分で計算できる程度に理解している,自分で計算できる程度に理解している,よく知っている（独学で勉強した、自分で使ったことがある）,よく知っている（独学で勉強した、自分で使ったことがある）,よく知っている（独学で勉強した、自分で使ったことがある）,よく知っている（独学で勉強した、自分で使ったことがある）,よく知っている（独学で勉強した、自分で使ったことがある）,よく知っている（独学で勉強した、自分で使ったことがある）,よく知っている（独学で勉強した、自分で使ったことがある）,よく知っている（独学で勉強した、自分で使ったことがある）,講義で聞いたことがある,普段からプログラムを書いている,参加したことは無い,システム制御系,Google Colaboratory;Jupyter Notebook（上記のサービスを除く）;Slack;Github;NumPy;Matplotlib;scikit-learn;PyTorch;,
4,講義で聞いたことはある,講義で聞いたことはある,講義で聞いたことがある,講義で聞いたことがある,あまり知らない,あまり知らない,講義で聞いたことがある,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,参加したことは無い,情報工学系（情報工学科も含む）,Google Colaboratory;Slack;,
5,講義で聞いたことはある,講義で聞いたことはある,あまり知らない,あまり知らない,あまり知らない,講義で聞いたことがある,講義で聞いたことがある,あまり知らない,あまり知らない,あまり知らない,あまり知らない,講義で勉強したことがある,参加したことは無い,情報工学系（情報工学科も含む）,Google Colaboratory;Slack;Github;,
6,講義で聞いたことはある,あまり知らない,講義で聞いたことがある,よく知っている（独学で勉強した、自分で使ったことがある）,あまり知らない,講義で聞いたことがある,講義で聞いたことがある,あまり知らない,あまり知らない,あまり知らない,あまり知らない,ある程度コードが書ける,参加したことは無い,情報工学系（情報工学科も含む）,Google Colaboratory;Jupyter Notebook（上記のサービスを除く）;Slack;Github;NumPy;Matplotlib;,
7,自分で計算できる程度に理解している,講義で聞いたことはある,あまり知らない,講義で聞いたことがある,講義で聞いたことがある,あまり知らない,講義で聞いたことがある,あまり知らない,講義で聞いたことがある,あまり知らない,あまり知らない,講義で勉強したことがある,参加したことは無い,情報工学系（情報工学科も含む）,Google Colaboratory;Jupyter Notebook（上記のサービスを除く）;Slack;,
8,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,講義で聞いたことがある,あまり知らない,あまり知らない,あまり知らない,あまり知らない,ある程度コードが書ける,参加したことは無い,情報工学系（情報工学科も含む）,Google Colaboratory;Jupyter Notebook（上記のサービスを除く）;Slack;,
9,自分で計算できる程度に理解している,講義で聞いたことはある,講義で聞いたことがある,講義で聞いたことがある,あまり知らない,あまり知らない,講義で聞いたことがある,あまり知らない,あまり知らない,あまり知らない,講義で聞いたことがある,講義で勉強したことがある,参加したことは無い,情報工学系（情報工学科も含む）,Google Colaboratory;Slack;,
10,講義で聞いたことはある,講義で聞いたことはある,講義で聞いたことがある,講義で聞いたことがある,あまり知らない,あまり知らない,講義で聞いたことがある,あまり知らない,あまり知らない,あまり知らない,あまり知らない,ある程度コードが書ける,参加したことは無い,電気電子,Google Colaboratory;Slack;Github;,
11,講義で聞いたことはある,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,講義で勉強したことがある,参加したことは無い,電気電子系,Google Colaboratory;Slack;Jupyter Notebook（上記のサービスを除く）;,
12,講義で聞いたことはある,講義で聞いたことはある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,あまり知らない,あまり知らない,講義で聞いたことがある,講義で聞いたことがある,ある程度コードが書ける,参加したことは無い,情報工学系（情報工学科も含む）,Google Colaboratory;Jupyter Notebook（上記のサービスを除く）;Slack;Github;NumPy;scikit-learn;PyTorch;,
13,講義で聞いたことはある,講義で聞いたことはある,あまり知らない,講義で聞いたことがある,あまり知らない,あまり知らない,講義で聞いたことがある,あまり知らない,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,ある程度コードが書ける,参加したことは無い,情報工学系（情報工学科も含む）,Google Colaboratory;Jupyter Notebook（上記のサービスを除く）;Slack;Github;,
14,自分で計算できる程度に理解している,講義で聞いたことはある,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,ある程度コードが書ける,参加したことは無い,生命理工学系,Google Colaboratory;Jupyter Notebook（上記のサービスを除く）;Github;,初めて出る単語であったら、だいたいどのようなものであるかを軽くでいいので説明していただきたいです
15,自分で計算できる程度に理解している,講義で聞いたことはある,講義で聞いたことがある,講義で聞いたことがある,あまり知らない,あまり知らない,講義で聞いたことがある,あまり知らない,あまり知らない,講義で聞いたことがある,あまり知らない,ある程度コードが書ける,参加したことは無い,融合理工学系,Google Colaboratory;Jupyter Notebook（上記のサービスを除く）;Slack;Github;Matplotlib;NumPy;,
16,自分で計算できる程度に理解している,講義で聞いたことはある,講義で聞いたことがある,講義で聞いたことがある,あまり知らない,あまり知らない,講義で聞いたことがある,あまり知らない,あまり知らない,あまり知らない,あまり知らない,講義で勉強したことがある,参加したことは無い,情報工学系（情報工学科も含む）,Google Colaboratory;Slack;,
17,講義で聞いたことはある,あまり知らない,あまり知らない,講義で聞いたことがある,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,参加したことは無い,情報工学系（情報工学科も含む）,Google Colaboratory;Slack;,
18,自分で計算できる程度に理解している,講義で聞いたことはある,あまり知らない,あまり知らない,あまり知らない,あまり知らない,講義で聞いたことがある,あまり知らない,講義で聞いたことがある,あまり知らない,講義で聞いたことがある,講義で勉強したことがある,参加したことは無い,情報工学系（情報工学科も含む）,Google Colaboratory;Jupyter Notebook（上記のサービスを除く）;Slack;Github;NumPy;Matplotlib;PyTorch;,
19,講義で聞いたことはある,講義で聞いたことはある,講義で聞いたことがある,あまり知らない,あまり知らない,講義で聞いたことがある,講義で聞いたことがある,あまり知らない,あまり知らない,講義で聞いたことがある,講義で聞いたことがある,講義で勉強したことがある,参加したことは無い,情報工学系（情報工学科も含む）,Google Colaboratory;Jupyter Notebook（上記のサービスを除く）;Slack;scikit-learn;PyTorch;NumPy;Github;Matplotlib;,
20,自分で計算できる程度に理解している,自分で計算できる程度に理解している,講義で聞いたことがある,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,講義で勉強したことがある,参加したことは無い,電気電子系,Google Colaboratory;Jupyter Notebook（上記のサービスを除く）;,
21,講義で聞いたことはある,講義で聞いたことはある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で勉強したことがある,参加したことは無い,情報通信系,Google Colaboratory;Slack;Github;NumPy;Matplotlib;scikit-learn;PyTorch;,
22,自分で計算できる程度に理解している,講義で聞いたことはある,よく知っている（独学で勉強した、自分で使ったことがある）,講義で聞いたことがある,講義で聞いたことがある,よく知っている（独学で勉強した、自分で使ったことがある）,よく知っている（独学で勉強した、自分で使ったことがある）,講義で聞いたことがある,よく知っている（独学で勉強した、自分で使ったことがある）,講義で聞いたことがある,よく知っている（独学で勉強した、自分で使ったことがある）,ある程度コードが書ける,参加したことは無い,情報通信系,Google Colaboratory;Jupyter Notebook（上記のサービスを除く）;Slack;Github;NumPy;Matplotlib;PyTorch;,
23,講義で聞いたことはある,講義で聞いたことはある,あまり知らない,あまり知らない,あまり知らない,あまり知らない,講義で聞いたことがある,あまり知らない,あまり知らない,あまり知らない,あまり知らない,講義で勉強したことがある,参加したことは無い,情報工学系（情報工学科も含む）,Slack;,
24,自分で計算できる程度に理解している,自分で計算できる程度に理解している,よく知っている（独学で勉強した、自分で使ったことがある）,講義で聞いたことがある,講義で聞いたことがある,よく知っている（独学で勉強した、自分で使ったことがある）,よく知っている（独学で勉強した、自分で使ったことがある）,よく知っている（独学で勉強した、自分で使ったことがある）,よく知っている（独学で勉強した、自分で使ったことがある）,よく知っている（独学で勉強した、自分で使ったことがある）,よく知っている（独学で勉強した、自分で使ったことがある）,ある程度コードが書ける,参加したことがある,情報工学系（情報工学科も含む）,Google Colaboratory;Jupyter Notebook（上記のサービスを除く）;Slack;Github;NumPy;Matplotlib;scikit-learn;PyTorch;,
25,自分で計算できる程度に理解している,自分で計算できる程度に理解している,よく知っている（独学で勉強した、自分で使ったことがある）,よく知っている（独学で勉強した、自分で使ったことがある）,講義で聞いたことがある,よく知っている（独学で勉強した、自分で使ったことがある）,よく知っている（独学で勉強した、自分で使ったことがある）,講義で聞いたことがある,よく知っている（独学で勉強した、自分で使ったことがある）,よく知っている（独学で勉強した、自分で使ったことがある）,講義で聞いたことがある,ある程度コードが書ける,参加したことは無い,情報工学系（情報工学科も含む）,Slack;Github;Matplotlib;Google Colaboratory;,
26,講義で聞いたことはある,講義で聞いたことはある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,あまり知らない,あまり知らない,あまり知らない,講義で聞いたことがある,ある程度コードが書ける,参加したことは無い,情報工学系（情報工学科も含む）,Google Colaboratory;Slack;NumPy;scikit-learn;Matplotlib;,
27,自分で計算できる程度に理解している,講義で聞いたことはある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,あまり知らない,講義で聞いたことがある,あまり知らない,講義で聞いたことがある,普段からプログラムを書いている,参加したことは無い,情報工学系（情報工学科も含む）,Google Colaboratory;Jupyter Notebook（上記のサービスを除く）;Slack;Github;NumPy;scikit-learn;PyTorch;,
28,講義で聞いたことはある,講義で聞いたことはある,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,講義で勉強したことがある,参加したことは無い,情報工学系（情報工学科も含む）,Slack;,
29,自分で計算できる程度に理解している,自分で計算できる程度に理解している,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,講義で聞いたことがある,あまり知らない,講義で聞いたことがある,普段からプログラムを書いている,参加したことは無い,物理学系,Google Colaboratory;Jupyter Notebook（上記のサービスを除く）;Slack;Github;NumPy;Matplotlib;,
30,講義で聞いたことはある,講義で聞いたことはある,あまり知らない,あまり知らない,あまり知らない,あまり知らない,講義で聞いたことがある,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,参加したことは無い,情報通信系,Slack;Github;Google Colaboratory;,
31,講義で聞いたことはある,あまり知らない,あまり知らない,よく知っている（独学で勉強した、自分で使ったことがある）,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,講義で勉強したことがある,参加したことは無い,情報工学系（情報工学科も含む）,Google Colaboratory;Slack;Matplotlib;,
32,自分で計算できる程度に理解している,講義で聞いたことはある,あまり知らない,講義で聞いたことがある,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,講義で勉強したことがある,参加したことは無い,情報通信系,Google Colaboratory;Slack;Github;NumPy;Matplotlib;PyTorch;,
33,自分で計算できる程度に理解している,講義で聞いたことはある,あまり知らない,講義で聞いたことがある,あまり知らない,あまり知らない,講義で聞いたことがある,あまり知らない,あまり知らない,あまり知らない,あまり知らない,ある程度コードが書ける,参加したことは無い,情報工学系（情報工学科も含む）,Google Colaboratory;Slack;Github;,
34,自分で計算できる程度に理解している,講義で聞いたことはある,講義で聞いたことがある,よく知っている（独学で勉強した、自分で使ったことがある）,あまり知らない,講義で聞いたことがある,講義で聞いたことがある,あまり知らない,あまり知らない,あまり知らない,あまり知らない,講義で勉強したことがある,参加したことは無い,情報工学系（情報工学科も含む）,Google Colaboratory;Slack;Github;,
35,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,参加したことは無い,生命理工,,
36,自分で計算できる程度に理解している,自分で計算できる程度に理解している,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,ある程度コードが書ける,参加したことは無い,情報通信系,Google Colaboratory;Jupyter Notebook（上記のサービスを除く）;Slack;Github;Matplotlib;,
37,自分で計算できる程度に理解している,自分で計算できる程度に理解している,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,普段からプログラムを書いている,参加したことは無い,生命理工,Google Colaboratory;Jupyter Notebook（上記のサービスを除く）;Slack;Github;NumPy;Matplotlib;PyTorch;,
38,自分で計算できる程度に理解している,講義で聞いたことはある,講義で聞いたことがある,講義で聞いたことがある,あまり知らない,講義で聞いたことがある,講義で聞いたことがある,あまり知らない,あまり知らない,あまり知らない,講義で聞いたことがある,講義で勉強したことがある,参加したことは無い,電気電子系,Google Colaboratory;Slack;Github;,
39,講義で聞いたことはある,講義で聞いたことはある,講義で聞いたことがある,講義で聞いたことがある,あまり知らない,講義で聞いたことがある,あまり知らない,講義で聞いたことがある,あまり知らない,あまり知らない,あまり知らない,あまり知らない,参加したことは無い,情報工学系（情報工学科も含む）,Google Colaboratory;Slack;,
40,自分で計算できる程度に理解している,講義で聞いたことはある,あまり知らない,講義で聞いたことがある,あまり知らない,あまり知らない,講義で聞いたことがある,あまり知らない,あまり知らない,あまり知らない,あまり知らない,講義で勉強したことがある,参加したことは無い,情報工学系（情報工学科も含む）,Google Colaboratory;Slack;Matplotlib;,
41,講義で聞いたことはある,講義で聞いたことはある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,あまり知らない,あまり知らない,あまり知らない,講義で聞いたことがある,講義で勉強したことがある,参加したことは無い,情報工学系（情報工学科も含む）,Google Colaboratory;Slack;,
42,自分で計算できる程度に理解している,講義で聞いたことはある,よく知っている（独学で勉強した、自分で使ったことがある）,よく知っている（独学で勉強した、自分で使ったことがある）,よく知っている（独学で勉強した、自分で使ったことがある）,よく知っている（独学で勉強した、自分で使ったことがある）,よく知っている（独学で勉強した、自分で使ったことがある）,よく知っている（独学で勉強した、自分で使ったことがある）,よく知っている（独学で勉強した、自分で使ったことがある）,よく知っている（独学で勉強した、自分で使ったことがある）,講義で聞いたことがある,普段からプログラムを書いている,参加したことがある,情報工学系（情報工学科も含む）,Google Colaboratory;Jupyter Notebook（上記のサービスを除く）;Slack;Github;NumPy;Matplotlib;scikit-learn;PyTorch;,
43,自分で計算できる程度に理解している,講義で聞いたことはある,よく知っている（独学で勉強した、自分で使ったことがある）,講義で聞いたことがある,よく知っている（独学で勉強した、自分で使ったことがある）,よく知っている（独学で勉強した、自分で使ったことがある）,よく知っている（独学で勉強した、自分で使ったことがある）,あまり知らない,よく知っている（独学で勉強した、自分で使ったことがある）,講義で聞いたことがある,講義で聞いたことがある,普段からプログラムを書いている,参加したことは無い,情報工学系（情報工学科も含む）,Jupyter Notebook（上記のサービスを除く）;Google Colaboratory;Slack;NumPy;Matplotlib;scikit-learn;PyTorch;,
44,講義で聞いたことはある,講義で聞いたことはある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,あまり知らない,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,ある程度コードが書ける,参加したことは無い,情報工学系（情報工学科も含む）,Google Colaboratory;Jupyter Notebook（上記のサービスを除く）;Slack;Github;NumPy;Matplotlib;,
45,講義で聞いたことはある,講義で聞いたことはある,講義で聞いたことがある,講義で聞いたことがある,あまり知らない,あまり知らない,あまり知らない,よく知っている（独学で勉強した、自分で使ったことがある）,あまり知らない,あまり知らない,あまり知らない,講義で勉強したことがある,参加したことは無い,情報通信系,Google Colaboratory;NumPy;Slack;scikit-learn;,
46,自分で計算できる程度に理解している,講義で聞いたことはある,あまり知らない,あまり知らない,あまり知らない,講義で聞いたことがある,講義で聞いたことがある,あまり知らない,講義で聞いたことがある,あまり知らない,あまり知らない,講義で勉強したことがある,参加したことは無い,情報工学系（情報工学科も含む）,Google Colaboratory;Slack;Github;NumPy;Matplotlib;,
47,自分で計算できる程度に理解している,講義で聞いたことはある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,あまり知らない,講義で聞いたことがある,あまり知らない,あまり知らない,あまり知らない,講義で聞いたことがある,ある程度コードが書ける,参加したことは無い,情報工学系（情報工学科も含む）,Google Colaboratory;Jupyter Notebook（上記のサービスを除く）;Slack;Github;NumPy;,
48,自分で計算できる程度に理解している,あまり知らない,講義で聞いたことがある,あまり知らない,あまり知らない,あまり知らない,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,あまり知らない,講義で聞いたことがある,ある程度コードが書ける,参加したことは無い,情報通信系,Google Colaboratory;Jupyter Notebook（上記のサービスを除く）;Slack;Github;NumPy;Matplotlib;scikit-learn;PyTorch;,
49,自分で計算できる程度に理解している,自分で計算できる程度に理解している,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で勉強したことがある,参加したことは無い,情報通信系,Google Colaboratory;Jupyter Notebook（上記のサービスを除く）;Slack;Github;PyTorch;,よろしくお願いします
