Is Daylight,Sky Cover,Visibility,Distance to Solar Noon,Power Generated
TRUE,0,10,0.586592179,0
TRUE,0,10,0.611271676,0
TRUE,0,10,0.613933237,0
TRUE,0,10,0.615720524,0
TRUE,0,10,0.617518248,0
TRUE,0,10,0.62170088,0
TRUE,0,10,0.623529412,0
TRUE,0,10,0.626292467,0
TRUE,0,10,0.628148148,0
TRUE,0,10,0.634328358,0
TRUE,0,10,0.636227545,0
TRUE,0,10,0.646433991,0
TRUE,0,10,0.648401826,0
TRUE,0,10,0.650381679,0
TRUE,0,10,0.65237366,0
TRUE,0,10,0.655384615,0
TRUE,0,10,0.775716695,0
TRUE,0,10,0.773109244,0
TRUE,0,10,0.768844221,0
TRUE,0,10,0.752052545,0
TRUE,0,10,0.747954173,0
TRUE,0,10,0.744299674,0
TRUE,0,10,0.740680713,0
TRUE,0,10,0.735909823,0
TRUE,0,10,0.733118971,0
TRUE,0,10,0.721518987,0
TRUE,0,8,0.774410774,0
TRUE,0,10,0.738287561,1
TRUE,0,10,0.576551724,65
TRUE,0,10,0.562162162,154
TRUE,0,10,0.568990043,244
TRUE,0,10,0.565770863,247
TRUE,0,10,0.537157757,375
TRUE,0,10,0.536458333,423
TRUE,0,10,0.53307393,429
TRUE,0,10,0.531694696,455
TRUE,0,10,0.529639175,491
TRUE,0,10,0.528277635,515
TRUE,0,10,0.540612517,516
TRUE,0,10,0.533420708,561
TRUE,0,10,0.53125,570
TRUE,0,10,0.494518879,1110
TRUE,0,10,0.484210526,1305
TRUE,0,10,0.46277205,1753
TRUE,0,10,0.459367946,1950
TRUE,0,10,0.459977452,2009
TRUE,0,10,0.472175379,3049
TRUE,0,10,0.375572519,5542
TRUE,0,8,0.516351119,5652
TRUE,0,10,0.491987179,7449
TRUE,0,10,0.378461538,7775
TRUE,0,10,0.374429224,8453
TRUE,0,10,0.477079796,8465
TRUE,0,10,0.467336683,9129
TRUE,0,10,0.365671642,9169
TRUE,0,10,0.360413589,10116
TRUE,0,9,0.443729904,10241
TRUE,0,9,0.448946515,10418
TRUE,0,10,0.447495961,10570
TRUE,0,10,0.358823529,10727
TRUE,0,10,0.35371179,10894
TRUE,0,10,0.351156069,10975
TRUE,0,10,0.44605475,11047
TRUE,0,10,0.328275862,12109
TRUE,0,10,0.326923077,12287
TRUE,0,10,0.320217096,13686
TRUE,0,10,0.318918919,13893
TRUE,0,10,0.302477184,14835
TRUE,0,10,0.299610895,14917
TRUE,0,10,0.302083333,14980
TRUE,0,10,0.298835705,15308
TRUE,0,10,0.297680412,15408
TRUE,0,10,0.296915167,16280
TRUE,0,10,0.296875,17213
TRUE,0,10,0.299472296,17465
TRUE,0,10,0.28875,17762
TRUE,0,10,0.300932091,18105
TRUE,0,10,0.257046223,18600
TRUE,0,10,0.276960784,18854
TRUE,0,10,0.256586483,20315
TRUE,0,10,0.256207675,20505
TRUE,0,10,0.256586483,20746
TRUE,0,10,0.257046223,21260
TRUE,0,8,0.203125,20658
TRUE,0,8,0.157212318,21150
TRUE,0,10,0.207578254,22523
TRUE,0,10,0.206557377,22910
TRUE,0,10,0.17147708,22992
TRUE,0,10,0.168634064,23077
TRUE,0,10,0.176068376,23280
TRUE,0,10,0.165829146,23615
TRUE,0,10,0.101538462,23672
TRUE,0,10,0.204180064,24011
TRUE,0,10,0.100763359,24209
TRUE,0,9,0.154340836,24249
TRUE,0,10,0.100456621,25219
TRUE,0,10,0.158496732,25314
TRUE,0,10,0.156199678,25922
TRUE,0,10,0.094814815,26285
TRUE,0,10,0.08,26858
TRUE,0,9,0.091040462,27357
TRUE,0,10,0.094534712,27438
TRUE,0,10,0.091436865,27645
TRUE,0,10,0.089337176,27732
TRUE,0,10,0.06614786,27741
TRUE,0,10,0.067708333,27963
TRUE,0,10,0.091703057,28183
TRUE,0,10,0.06779661,28193
TRUE,0,10,0.065976714,28339
TRUE,0,10,0.065721649,29025
TRUE,0,10,0.075983718,29378
TRUE,0,10,0.065552699,30069
TRUE,0,10,0.062025316,31028
TRUE,0,10,0.063157895,31322
TRUE,0,10,0.06375,31610
TRUE,0,10,0.0625,32087
TRUE,0,10,0.050400916,32195
TRUE,0,10,0.056372549,32413
TRUE,0,10,0.062005277,32471
TRUE,0,10,0.053047404,32483
TRUE,0,10,0.050400916,32729
TRUE,0,10,0.061088977,33045
TRUE,0,10,0.054176072,33111
TRUE,0,10,0.052443385,33187
TRUE,0,10,0.059701493,33387
TRUE,0,10,0.051194539,33563
TRUE,0,10,0.054114994,33697
TRUE,0,10,0.064209275,33944
TRUE,0,10,0.061598952,34212
TRUE,0,10,0.054114994,35033
TRUE,0,10,0.05107832,35486
TRUE,0,10,0.175384615,20597
TRUE,0,10,0.174045802,20869
TRUE,0,10,0.171641791,21798
TRUE,0,10,0.173515982,21804
TRUE,0,10,0.167597765,22037
TRUE,0,10,0.171851852,22832
TRUE,0,9,0.168275862,23119
TRUE,0,10,0.166666667,23551
TRUE,0,10,0.167315175,23555
TRUE,0,9,0.169811321,23843
TRUE,0,10,0.166882277,23855
TRUE,0,10,0.171344165,23961
TRUE,0,10,0.166237113,24335
TRUE,0,10,0.170305677,24973
TRUE,0,10,0.184032476,25440
TRUE,0,10,0.165809769,25477
TRUE,0,9,0.180481283,25824
TRUE,0,9,0.164215686,26714
TRUE,0,10,0.171875,26917
TRUE,0,10,0.184531886,27378
TRUE,0,10,0.16125,27440
TRUE,0,10,0.155784651,27500
TRUE,0,10,0.150112867,27692
TRUE,0,10,0.147024504,27752
TRUE,0,9,0.150112867,27771
TRUE,0,10,0.173629243,27967
TRUE,0,10,0.155784651,28056
TRUE,0,10,0.147368421,28144
TRUE,0,10,0.174311927,28147
TRUE,0,10,0.148984199,28488
TRUE,0,10,0.148816234,29010
TRUE,0,10,0.149821641,29577
TRUE,0,10,0.439316239,3
TRUE,0,10,0.440414508,13
TRUE,0,10,0.438983051,18
TRUE,0,10,0.438448567,21
TRUE,0,10,0.43718593,23
TRUE,0,8,0.43697479,52
TRUE,0,10,0.437710438,189
TRUE,0,10,0.424878837,292
TRUE,0,10,0.423510467,362
TRUE,0,10,0.388429752,595
TRUE,0,10,0.41314554,765
TRUE,0,10,0.383606557,934
TRUE,0,8,0.452307692,2497
TRUE,0,10,0.453900709,2552
TRUE,0,10,0.448854962,2603
TRUE,0,10,0.447488584,2921
TRUE,0,10,0.438988095,3359
TRUE,0,10,0.438518519,3473
TRUE,0,10,0.437223043,3687
TRUE,0,9,0.431059507,3816
TRUE,0,9,0.421122995,4023
TRUE,0,10,0.40077821,4750
TRUE,0,10,0.401041667,4804
TRUE,0,10,0.399741268,4854
TRUE,0,10,0.398195876,4939
TRUE,0,10,0.404669261,5180
TRUE,0,10,0.408616188,5397
TRUE,0,10,0.397172237,5418
TRUE,0,9,0.379975875,5801
TRUE,0,10,0.384803922,5826
TRUE,0,8,0.379061372,6035
TRUE,0,10,0.3808948,6044
TRUE,0,10,0.38625,6617
TRUE,0,10,0.391414141,6685
TRUE,0,10,0.353273138,8112
TRUE,0,10,0.35705951,8363
TRUE,0,10,0.363852556,8482
TRUE,0,9,0.35214447,8555
TRUE,0,10,0.351747463,8824